species,m_body_size,unsexed_body_size,m_bill_size,unsexed_bill_size
Eugenes fulgens,7.9,,27.1,
Euphagus carolinus,64.3,,19.6,
Euphagus cyanocephalus,67.2,,14.5,
Eupherusa cyanophrys,5.4,,17.6,
Eupherusa eximia,4.6,,18.3,
Euplectes afer,14.7,,14.0,
Euplectes franciscanus,17.0,,14.2,
Eurypyga helias,227.0,227.0,,
Falco columbarius,162.0,,,
Falco femoralis,260.0,,,
Falco mexicanus,565.0,,,
Falco peregrinus,579.2,,,
Falco rufigularis,129.0,,,
Falco rusticolus,1115.0,,,
Falco sparverius,111.0,,,
Falco subbuteo,181.5,,,
Falco tinnunculus,213.0,,,
Florisuga mellivora,7.6,,18.3,
Formicarius analis,62.4,58.7,,
Francolinus francolinus,487.5,,28.6,
Fratercula arctica,391.0,,45.7,
Fratercula cirrhata,805.5,774.2,59.8,
Fratercula corniculata,,637.16,,
Fregata ariel,754.0,,82.8,
Fregata magnificens,1281.0,1709.0,112.0,
Fregata minor,1239.0,,102.0,
Fringilla coelebs,22.7,,14.8,
Fringilla montifringilla,22.6,,15.6,
Fulica americana,629.0,,,
Fulica atra,835.0,,29.0,
Fulmarus glacialis,884.0,820.0,37.5,
Gallus gallus,844.0,2300.0,,
Gavia adamsii,4900.0,5627.0,89.0,
Gavia arctica,3355.0,,60.7,
Gavia immer,5460.0,5460.0,83.1,
Gavia pacifica,2349.0,,52.9,
Gavia stellata,1729.0,,55.1,
Geococcyx californianus,319.1,,37.5,
Geothlypis trichas,10.3,10.49,,10.6
Glaucidium brasilianum,66.3,,11.0,
Glaucidium gnoma,61.9,,,10.3
Grus americana,,7496.5,138.5,
Grus canadensis,4800.0,4500.0,119.7,
Grus grus,5095.0,,109.0,
Gygis alba,142.0,,40.8,
Gymnogyps californianus,8800.0,,,
Gymnorhinus cyanocephalus,111.0,108.0,35.34,
Haematopus bachmani,,681.0,68.3,
Haematopus palliatus,,560.0,83.0,
Haliaeetus albicilla,4014.0,,,
Haliaeetus leucocephalus,4130.0,,,
Heliomaster longirostris,6.8,,36.3,
Heliornis fulica,,135.0,,
Herpetotheres cachinnans,620.0,,,
Himantopus mexicanus,170.4,,65.3,
Hirundapus caudacutus,122.0,,8.6,
Hirundo rustica,18.8,,12.2,
Histrionicus histrionicus,653.0,653.0,,
Hylocharis eliciae,4.2,,15.5,
Hylocharis leucotis,4.6,,17.6,
Hylocharis xantusii,3.5,,17.1,
Hylophilus ochraceiceps,,11.0,,
Icteria virens,25.4,,10.5,
Icterus cucullatus,,24.3,19.5,
Icterus galbula,36.3,,,12.8
Icterus graduacauda,42.5,,26.2,
Icterus gularis,59.1,,25.7,
Icterus parisorum,36.3,,23.6,
Icterus pectoralis,,52.34,,
Icterus spurius,20.7,,15.5,
Ictinia mississippiensis,245.0,,,
Ictinia plumbea,239.0,,,
Ixobrychus exilis,78.2,77.48,45.3,
Jacana spinosa,86.9,,17.8,
Junco hyemalis,18.9,,8.02,
Junco phaeonotus,,20.4,8.4,
Jynx torquilla,38.8,31.0,16.1,
Lagopus lagopus,635.0,,11.5,
Lampornis amethystinus,6.1,,22.6,
Lampornis clemenciae,8.1,,23.4,
Lampornis viridipallens,6.2,,22.0,
Lamprolaima rhami,9.5,,16.0,
Laniocera rufescens,49.0,49.0,,
Lanius cristatus,34.5,30.0,20.1,
Lanius excubitor,,63.4,23.0,
Lanius ludovicianus,,47.7,12.8,
Larus argentatus,977.0,,53.2,
Larus californicus,841.0,,53.0,
Larus canus,413.0,,34.5,
Larus crassirostris,591.0,,46.7,
Larus delawarensis,566.0,,41.0,
Larus dominicanus,1080.7,,57.4,
Larus fuscus,880.0,,52.1,
Larus glaucescens,1180.0,,63.3,
Larus glaucoides,,,43.6,
Larus heermanni,,,,
Larus hyperboreus,1576.0,,62.7,
