,,,,,,,TAXONOMIC SOURCES,,,,,,,,,,,,,,,,,,,,
Tinamidae,Tinamous,Chilean Tinamou,Nothoprocta perdicaria,"(Kittlitz, 1830)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,48,,,
Tinamidae,Tinamous,Curve-billed Tinamou,Nothoprocta curvirostris,"Sclater & Salvin, 1873",R,LC,,,,,,,,,Y,Y,Y,,,,,,,49,,,
Tinamidae,Tinamous,Darwin's Nothura,Nothura darwinii,"Gray, 1867",R,LC,,,,,,,,,Y,Y,Y,,,,,,,50,,,
Tinamidae,Tinamous,Chaco Nothura,Nothura chacoensis,"Conover, 1937",R,LC,,,,,,,,,Y,Y,Y,,,,,,,51,,,
Tinamidae,Tinamous,Spotted Nothura,Nothura maculosa,"(Temminck, 1815)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,52,,,
Tinamidae,Tinamous,Lesser Nothura,Nothura minor,"(Spix, 1825)",R,VU,,,,,,,,,Y,Y,Y,,,,,,,53,,,
Tinamidae,Tinamous,White-bellied Nothura,Nothura boraquira,"(Spix, 1825)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,54,,,
Tinamidae,Tinamous,Dwarf Tinamou,Taoniscus nanus,"(Temminck, 1815)",R,VU,,,,,,,,,Y,Y,Y,,,,,,,55,,,
Tinamidae,Tinamous,Elegant Crested-tinamou,Eudromia elegans,"Geoffroy Saint-Hilaire, 1832",R,LC,,,,,,,,,Y,Y,Y,,,,,Elegant Crested Tinamou (15);,,56,,,
Tinamidae,Tinamous,Quebracho Crested-tinamou,Eudromia formosa,"(Lillo, 1905)",R,LC,,,,,,,,,Y,Y,Y,,,,,Quebracho Crested Tinamou (15);,,57,,,
Tinamidae,Tinamous,Puna Tinamou,Tinamotis pentlandii,"Vigors, 1837",R,LC,,,,,,,,,Y,Y,Y,,,,,,,58,,,
Tinamidae,Tinamous,Patagonian Tinamou,Tinamotis ingoufi,"Oustalet, 1890",R,LC,,,,,,,,,Y,Y,Y,,,,,,,59,,,
Struthionidae,Ostriches,Ostrich,Struthio camelus,"Linnaeus, 1758",R,LC,Y,,,,Y,Y,Y,,,Y,,,,,,Common Ostrich (15);,,1,,,
Struthionidae,Ostriches,Somali Ostrich,Struthio molybdophanes,"Reichenow, 1883",UR,UR,,,,,,,,,,,,,Y,Freitag and Robinson (1993),,,,31769,,,
Rheidae,Rheas,Greater Rhea,Rhea americana,"(Linnaeus, 1758)",R,NT,,,,,,,,,Y,Y,Y,,,,,Lesser Rhea (11);,,2,,,
Rheidae,Rheas,,Rhea nana,"Lydekker, 1894",NR,NR,,,,Y,,,,,,,,,,,,,"Rhea nana is known only from the description by Lydekker in 1894 based on a single egg collected in south Patagonia, Argentina (Knox and Walters 1994).",32378,,,
Rheidae,Rheas,Lesser Rhea,Rhea pennata,"d'Orbigny, 1834",R,NT,,,,,,,,,Y,,,,,,,Darwin's Rhea (15);,"Pterocnemia pennata (Sibley and Monroe 1990, 1993) was provisionally split into P. pennata and P. tarapacensis by Stotz et al. (1996) but this treatment has not been adopted, following SACC (2005). Use of the genus Rhea follows SACC (2008).",3,,,
Rheidae,Rheas,,Pterocnemia tarapacensis,"Chubb, 1913",NR,NR,,,,,,,,,,,Y,,,,,,"Pterocnemia pennata (Sibley and Monroe 1990, 1993) was provisionally split into P. pennata and P. tarapacensis by Stotz et al. (1996) but this treatment has not been adopted, following SACC (2005).",31357,,,
Casuariidae,Cassowaries,Southern Cassowary,Casuarius casuarius,"(Linnaeus, 1758)",R,VU,,,,,Y,,,,,Y,,,,,,,,4,,,
Casuariidae,Cassowaries,Dwarf Cassowary,Casuarius bennetti,"Gould, 1857",R,NT,,,,,,,,,,Y,,,,,,,,5,,,
Casuariidae,Cassowaries,Northern Cassowary,Casuarius unappendiculatus,"Blyth, 1860",R,VU,,,,,,,,,,Y,,,,,,,,6,,,
Dromaiidae,Emus,,Dromaius novaehollandiae,"(Latham, 1790)",NR,NR,,,,,,,,,,Y,,,,,,,"Dromaius novaehollandiae (Sibley and Monroe 1990, 1993) has been split into D. novaehollandiae, D. ater and D. baudinianus following Christidis and Boles (1994).",32132,,,
Dromaiidae,Emus,Emu,Dromaius novaehollandiae,"(Latham, 1790)",R,LC,,,,,Y,,,,,,,,,,,,"Dromaius novaehollandiae (Sibley and Monroe 1990, 1993) has been split into D. novaehollandiae, D. ater and D. baudinianus following Christidis and Boles (1994).",7,,,
Dromaiidae,Emus,King Island Emu,Dromaius ater,"(Vieillot, 1817)",R,EX,,,,Y,Y,,,,,,,,,,,,"Dromaius novaehollandiae (Sibley and Monroe 1990, 1993) has been split into D. novaehollandiae, D. ater and D. baudinianus following Christidis and Boles (1994).",30069,,,
Dromaiidae,Emus,Kangaroo Island Emu,Dromaius baudinianus,"S. A. Parker, 1984",R,EX,,,,Y,Y,,,,,,,,,,,,"Dromaius novaehollandiae (Sibley and Monroe 1990, 1993) has been split into D. novaehollandiae, D. ater and D. baudinianus following Christidis and Boles (1994).",9783,,,
Apterygidae,Kiwis,,Apteryx australis,"Shaw, 1813",NR,NR,,,,,,,,,,Y,,Y,,,,,"Apteryx australis (Sibley and Monroe 1990, 1993) has been split into A. australis and A. mantelli following Baker et al. (1995).",31000,,,
Apterygidae,Kiwis,Southern Brown Kiwi,Apteryx australis,"Shaw, 1813",R,VU,,,,,,,,,,,,,Y,Baker et al. (1995),,,"Apteryx australis (Sibley and Monroe 1990, 1993) has been split into A. australis and A. mantelli following Baker et al. (1995).",8,,,
Apterygidae,Kiwis,Northern Brown Kiwi,Apteryx mantelli,"Bartlett, 1851",R,EN,,,,,,,,,,,,,Y,Baker et al. (1995),,North Island Brown Kiwi (15);,"Apteryx australis (Sibley and Monroe 1990, 1993) has been split into A. australis and A. mantelli following Baker et al. (1995).",9818,,,
Apterygidae,Kiwis,Little Spotted Kiwi,Apteryx owenii,"Gould, 1847",R,NT,,,,,,,,,,Y,,Y,,,,,,9,,,
Apterygidae,Kiwis,Great Spotted Kiwi,Apteryx haastii,"Potts, 1872",R,VU,,,,,,,,,,Y,,Y,,,,,,10,,,
Apterygidae,Kiwis,Okarito Brown Kiwi,Apteryx rowi,,UR,UR,,,,,,,,,,,,,Y,Tennyson et al. (2003),,,,31791,,,
Megapodiidae,Megapodes,Australian Brush-turkey,Alectura lathami,"Gray, 1831",R,LC,,,,,Y,,,,,Y,,,,,,Australian Brushturkey (15);,,110,,,
Megapodiidae,Megapodes,Wattled Brush-turkey,Aepypodius arfakianus,"(Salvadori, 1877)",R,LC,,,,,,,,,,Y,,,,,,Wattled Brushturkey (15);,,111,,,
Megapodiidae,Megapodes,Bruijn's Brush-turkey,Aepypodius bruijnii,"(Oustalet, 1880)",R,EN,,,,,,,,,,Y,,,,,,Waigeo Brushturkey (15);,,112,, ,
Megapodiidae,Megapodes,Red-billed Brush-turkey,Talegalla cuvieri,"Lesson, 1828",R,LC,,,,,,,,,,Y,,,,,,Red-billed Brushturkey (15);,,113,,,
Megapodiidae,Megapodes,Black-billed Brush-turkey,Talegalla fuscirostris,"Salvadori, 1877",R,LC,,,,,,,,,,Y,,,,,,Black-billed Brushturkey (15);,,114,,,
Megapodiidae,Megapodes,Brown-collared Brush-turkey,Talegalla jobiensis,"Meyer, 1874",R,LC,,,,,,,,,,Y,,,,,,Collared Brushturkey (15);,,115,,,
Megapodiidae,Megapodes,Malleefowl,Leipoa ocellata,"Gould, 1840",R,VU,,,,,Y,,,,,Y,,,,,,,,128,,,
Megapodiidae,Megapodes,Maleo,Macrocephalon maleo,"Müller, 1846",R,EN,,,,,,,,,,Y,,,,,,,,116,,,
Megapodiidae,Megapodes,Moluccan Megapode,Eulipoa wallacei,"Gray, 1860",R,VU,,,,,,,,,,Y,,,,,Megapodius wallacei (10);,Moluccan Scrubfowl (10);,,127,,,
Megapodiidae,Megapodes,Nicobar Megapode,Megapodius nicobariensis,"Blyth, 1846",R,VU,,,,,,,,,,Y,,,,,,Nicobar Scrubfowl (10);,,117,,,
Megapodiidae,Megapodes,Tabon Megapode,Megapodius cumingii,"Dillwyn, 1853",R,LC,,,,,,,,,,Y,,,,,,Tabon Scrubfowl (10); Philippine Megapode (15);,,118,,,
Megapodiidae,Megapodes,Sula Megapode,Megapodius bernsteinii,"Schlegel, 1866",R,VU,,,,,,,,,,Y,,,,,,Sula Scrubfowl (10);,,119,,,
Megapodiidae,Megapodes,,Megapodius reinwardt,"Dumont, 1823",NR,NR,,,,,,,,,,Y,,,,,,,"Megapodius reinwardt (Sibley and Monroe 1990, 1993) has been split into M. reinwardt and M. tenimberensis following Jones et al. (1995).",120,,,
Megapodiidae,Megapodes,Orange-footed Megapode,Megapodius reinwardt,"Dumont, 1823",R,LC,,,,,Y,,,,,,,,Y,Jones et al. (1995),,Orange-footed Scrubfowl (5); Scrubfowl (15);,"Megapodius reinwardt (Sibley and Monroe 1990, 1993) has been split into M. reinwardt and M. tenimberensis following Jones et al. (1995).",32273,,,
Megapodiidae,Megapodes,Tanimbar Megapode,Megapodius tenimberensis,"P.L. Sclater, 1883",R,NT,,,,,,,,,,,,,Y,Jones et al. (1995),,,"Megapodius reinwardt (Sibley and Monroe 1990, 1993) has been split into M. reinwardt and M. tenimberensis following Jones et al. (1995).",31680,,,
Megapodiidae,Megapodes,,Megapodius freycinet,"Gaimard, 1823",NR,NR,,,,,,,,,,Y,,,,,,,"Megapodius freycinet (Sibley and Monroe 1990, 1993) has been split into M. freycinet and M. geelvinkianus following Jones et al. (1995).",31039,,,
Megapodiidae,Megapodes,Dusky Megapode,Megapodius freycinet,"Gaimard, 1823",R,LC,,,,,,,,,,,,,Y,Jones et al. (1995),,,"Megapodius freycinet (Sibley and Monroe 1990, 1993) has been split into M. freycinet and M. geelvinkianus following Jones et al. (1995). Megapodius forstenii was split, with some justification, from M. reinwardt by Jones et al. (1995), of which it has long been treated as a subspecies. However, Jones et al. (1995) also remark that in structure forstenii is ""close to M. freycinet and (especially) M. geelvinkianus…"" but do not develop the point. However, the case for a close relationship between these forms is supported on mensural and distributional grounds and on the molecular evidence of Birks and Edwards (2002). The BirdLife Taxonomic Working Group therefore does not recognise forstenii as a separate species and consider that it probably best regarded as a subspecies of freycinet.",121,,,
Megapodiidae,Megapodes,Biak Megapode,Megapodius geelvinkianus,"Meyer, 1874",R,VU,,,,,,,,,,,,,Y,Jones et al. (1995),,,"Megapodius freycinet (Sibley and Monroe 1990, 1993) has been split into M. freycinet and M. geelvinkianus following Jones et al. (1995).",30043,,,
Megapodiidae,Megapodes,New Guinea Megapode,Megapodius affinis,"Meyer, 1874",R,LC,,,,,,,,,,Y,,,,,,New Guinea Scrubfowl (10);,,122,,,
Megapodiidae,Megapodes,Melanesian Megapode,Megapodius eremita,"Hartlaub, 1867",R,LC,,,,,,,,,,Y,,,,,,Melanesian Scrubfowl (10);,,123,,,
Megapodiidae,Megapodes,Vanuatu Megapode,Megapodius layardi,"Tristram, 1879",R,VU,,,,,,,,,,Y,,,,,,Vanuatu Scrubfowl (10);,,124,,,
Megapodiidae,Megapodes,Micronesian Megapode,Megapodius laperouse,"Gaimard, 1823",R,EN,,,,,,,,,,Y,,,,,,Micronesian Scrubfowl (10);,,125,,,
Megapodiidae,Megapodes,Polynesian Megapode,Megapodius pritchardii,"Gray, 1864",R,EN,,,,,,,,,,Y,,,,,,Niaufoou Scrubfowl (10); Tongan Megapode (15);,,126,,,
