Phoca groenlandica,128786.67
Phoca fasciata,82500.0
Phoca vitulina,101250.0
Phoca sibirica,81666.67
Bassaricyon gabbii,1242.5
Bassariscus sumichrasti,900.0
Bassariscus astutus,975.5
Nasua nasua,4750.0
Nasua narica,3750.0
Potos flavus,3000.0
Procyon cancrivorus,6270.0
Procyon lotor,4400.0
Ailuropoda melanoleuca,111600.0
Ailurus fulgens,4325.0
Helarctos malayanus,46000.0
Melursus ursinus,100000.0
Tremarctos ornatus,61000.0
Ursus thibetanus,76666.67
Ursus maritimus,286366.67
Ursus arctos,203500.0
Ursus americanus,110560.0
Arctictis binturong,12250.0
Arctogalidia trivirgata,2250.0
Chrotogale owstoni,3250.0
Civettictis civetta,13666.67
Cryptoprocta ferox,9500.0
Cynogale bennettii,4000.0
Eupleres goudotii,3000.0
Fossa fossana,1540.0
Genetta maculata,2225.0
Genetta genetta,1866.67
Genetta tigrina,1820.0
Hemigalus derbyanus,2375.0
Nandinia binotata,1900.0
Paguma larvata,4300.0
Paradoxurus zeylonensis,2380.0
Paradoxurus hermaphroditus,3100.0
Prionodon pardicolor,4500.0
Prionodon linsang,698.0
Viverra zibetha,10000.0
Viverricula indica,3000.0
Balaena mysticetus,80000000.0
Eubalaena australis,23000000.0
Eubalaena glacialis,23000000.0
Balaenoptera physalus,66800000.0
Balaenoptera musculus,149000000.0
Balaenoptera borealis,14766666.67
Balaenoptera edeni,20000000.0
Balaenoptera acutorostrata,16266666.67
Megaptera novaeangliae,30000000.0
Cephalorhynchus heavisidii,
Cephalorhynchus commersonii,72400.0
Cephalorhynchus hectori,
Delphinus delphis,76365.0
Feresa attenuata,133000.0
Globicephala melas,1060000.0
Globicephala macrorhynchus,726000.0
Grampus griseus,425000.0
Lagenodelphis hosei,164000.0
Lagenorhynchus albirostris,180000.0
Lagenorhynchus obliquidens,103000.0
Lagenorhynchus acutus,182000.0
Lagenorhynchus obscurus,110000.0
Orcaella brevirostris,190000.0
Orcinus orca,4300000.0
Peponocephala electra,206000.0
Pseudorca crassidens,1360000.0
Sotalia fluviatilis,46666.67
Stenella coeruleoalba,122950.0
Stenella longirostris,70333.33
Stenella attenuata,68700.0
Steno bredanensis,122500.0
Tursiops truncatus,173333.33
Eschrichtius robustus,25066666.67
Delphinapterus leucas,665000.0
Monodon monoceros,900000.0
Caperea marginata,3200000.0
Neophocaena phocaenoides,32500.0
Phocoena sinus,45000.0
Phocoena phocoena,53183.33
Phocoenoides dalli,101666.67
Kogia simus,190233.33
Kogia breviceps,363000.0
Physeter catodon,15400000.0
Inia geoffrensis,96500.0
Lipotes vexillifer,83500.0
Platanista minor,
Platanista gangetica,21000.0
Pontoporia blainvillei,40333.33
Berardius arnuxii,
Berardius bairdii,8200000.0
Hyperoodon ampullatus,5266666.67
Mesoplodon carlhubbsi,1500000.0
Mesoplodon densirostris,1050000.0
Mesoplodon bidens,3400000.0
Ziphius cavirostris,2952500.0
